NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
:quotient_commit,PushPop,366825,366825,2,2,320062,160031.0,160031.0,159583,160479,633.6,sparse_poseidon_19
:quotient_commit,PushPop,366825,366825,2,2,319968,159984.0,159984.0,159584,160384,565.7,sparse_poseidon_20
:quotient_commit,PushPop,366825,366825,2,2,319551,159775.5,159775.5,159392,160159,542.4,sparse_poseidon_17
:quotient_commit,PushPop,366825,366825,2,2,318656,159328.0,159328.0,158400,160256,1312.4,sparse_poseidon_16
:quotient_commit,PushPop,366825,366825,2,2,318464,159232.0,159232.0,158368,160096,1221.9,sparse_poseidon_21
:quotient_commit,PushPop,366825,366825,2,2,314813,157406.5,157406.5,157342,157471,91.2,sparse_poseidon_15
:quotient_commit,PushPop,366825,366825,2,2,313664,156832.0,156832.0,155904,157760,1312.4,sparse_poseidon_14
:quotient_commit,PushPop,366825,366825,2,2,277791,138895.5,138895.5,138815,138976,113.8,wrapped_concatenate
:quotient_commit,PushPop,366825,366825,2,2,159392,79696.0,79696.0,79200,80192,701.4,loop_reshape_fusion_1
:quotient_commit,PushPop,366825,366825,2,2,153248,76624.0,76624.0,76608,76640,22.6,loop_reshape_fusion_2
:quotient_commit,PushPop,366825,366825,2,2,76221,38110.5,38110.5,37758,38463,498.5,loop_slice_fusion_10
:quotient_commit,PushPop,366825,366825,2,2,10880,5440.0,5440.0,5408,5472,45.3,loop_slice_fusion_9
:quotient_commit,PushPop,366825,366825,2,2,3424,1712.0,1712.0,1696,1728,22.6,loop_slice_fusion_8
:quotient_commit,PushPop,366825,366825,2,2,1792,896.0,896.0,832,960,90.5,loop_slice_fusion_7
:quotient_commit,PushPop,366825,366825,2,2,1408,704.0,704.0,640,768,90.5,loop_slice_fusion_5
:quotient_commit,PushPop,366825,366825,2,2,1344,672.0,672.0,640,704,45.3,loop_slice_fusion_4
:quotient_commit,PushPop,366825,366825,2,2,1344,672.0,672.0,672,672,0.0,loop_slice_fusion_6
:quotient_commit,PushPop,366825,366825,2,2,1248,624.0,624.0,576,672,67.9,loop_slice_fusion_2
:quotient_commit,PushPop,366825,366825,2,2,1216,608.0,608.0,608,608,0.0,loop_slice_fusion_3
:quotient_commit,PushPop,366825,366825,2,2,1152,576.0,576.0,576,576,0.0,loop_slice_fusion
:quotient_commit,PushPop,366825,366825,2,2,1152,576.0,576.0,576,576,0.0,loop_slice_fusion_1
TSL:Thunk:#hlo_op=command_buffer_1#,PushPop,366825,366825,19,19,68486023,3604527.5,461758.0,69023,8823825,4100588.2,sponge_hash_1
TSL:Thunk:#hlo_op=command_buffer_1#,PushPop,366825,366825,13,13,17417728,1339825.2,2344796.0,100672,2368732,1147091.5,sparse_poseidon_11
